timestamp,user_id,text,prediction,system,feedback
2025-11-22T22:05:12,u_104,"Nobody understands me.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T09:10:15,u_102,"Always have fun!",ALL_OR_NOTHING,System A (Rules),not_helpful
2025-11-23T09:15:22,u_102,"Why does everyone hate me though?",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T09:45:30,u_105,"My roommate is being quiet today.",MIND_READING,System B (SVM),not_helpful
2025-11-23T09:50:11,u_105,"He is definitely mad at me.",MIND_READING,System B (SVM),helpful
2025-11-23T10:12:05,u_103,"Бүгін күн суық екен.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-23T10:15:40,u_103,"Менің жолым болмайды.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-23T11:20:33,u_108,"If I fail this exam I am dead.",NEUTRAL_DISTRESS,System A (Rules),not_helpful
2025-11-23T11:25:15,u_108,"My life is over.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T12:05:44,u_111,"I never eat sushi.",ALL_OR_NOTHING,System A (Rules),not_helpful
2025-11-23T12:10:22,u_111,"I never do anything right.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T13:30:10,u_109,"Все смотрят на мои прыщи.",MIND_READING,System B (SVM),helpful
2025-11-23T13:35:55,u_109,"Я урод.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-23T14:15:20,u_106,"Totally awesome day!",ALL_OR_NOTHING,System A (Rules),not_helpful
2025-11-23T14:20:45,u_106,"Actually I feel like a total failure.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T15:00:10,u_112,"She probably thinks I'm annoying.",MIND_READING,System B (SVM),helpful
2025-11-23T15:05:30,u_112,"It's raining outside.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-23T16:40:22,u_101,"I'm gonna lose my mind.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-23T16:45:11,u_101,"Everything sucks.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-23T17:10:55,u_104,"People think I am smart.",MIND_READING,System A (Rules),not_helpful
2025-11-23T17:15:33,u_104,"They think I am faking it.",MIND_READING,System A (Rules),helpful
2025-11-23T18:20:10,u_110,"Жизнь — это боль.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-23T18:25:44,u_110,"Почему автобус опаздывает?",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-23T19:05:22,u_107,"Бәрі жақсы болады.",ALL_OR_NOTHING,System A (Rules),not_helpful
2025-11-23T19:10:15,u_107,"Ешкім маған көмектеспейді.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T20:30:55,u_105,"My friends are busy.",NEUTRAL_DISTRESS,System B (SVM),helpful
2025-11-23T20:35:10,u_105,"They are ignoring me on purpose.",MIND_READING,System B (SVM),helpful
2025-11-23T21:15:40,u_102,"Whatever happens happens.",NEUTRAL_DISTRESS,System A (Rules),helpful
2025-11-23T21:20:25,u_102,"Nothing ever works out for me.",ALL_OR_NOTHING,System A (Rules),helpful
2025-11-23T22:40:11,u_109,"Я полный ноль.",ALL_OR_NOTHING,System B (SVM),helpful
2025-11-23T22:45:33,u_109,"Кажется я заболел.",NEUTRAL_DISTRESS,System B (SVM),helpful
