text,label,reason
"Джапаниз просто лучшие. Я поражаюсь что вами движет и мотивирует, что вы готовили такой огромный ивент столько дней. Всем бы столько сил. 
Отдельное спасибо парню,который рассказывал про стипендии. Замотивировал наконец то собраться и начать готовиться на мекст ♡",NOISE,"Expresses gratitude, positive feedback"
Подруга после начала конфликта в секторе газа начала постоянно говорить что нужно убивать всех евреев. Ее много кто поддерживает из девушек. И она даже кинула мне твит где было написано 'теперь ясно почему гитлер истреблял евреев'. Я еврейка но никому об этом не говорила. Что мне делать? Я боюсь ходить по кампусу и выходить в город. Мне страшно,DISTRESS,"Expresses intense fear, anxiety"
"Я понял, что root of all my problems and stress это вкс. Если бы не вкс, все было бы как по маслу. Но все же, недолго осталось до конца семестра и я избавлюсь от нее",ALL_OR_NOTHING,Attributes all problems to one cause
"Моя дисфория заставляет меня чувствовать ужасно, особенно во время месячных. Я так это ненавижу, только я начинаю думать, что всё в порядке, даже перестаю носить биндер на грудь, и это снова происходит. Возможно это внутренняя трансфобия, но как можно принимать себя, когда вокруг все говорят, что 'это пройдет'? Мне почти 20 и с 13 лет ничего не изменилось! Дисфория заставляет меня переворачиваться наизнанку и мне опять и опять хочется распотрошить себя. Я пытаюсь не думать об этом, но ничего не получается. Когда это всё кончится? Мне уже невыносимо",DISTRESS,"Describes intense emotional pain, suffering"
6inch's chicken grill is not cooked on a grill. I'll come back later with another useless fact,NOISE,"Factual observation, irrelevant topic"
"Идет мужик в пустыне и видит слона в клетке. Ну, помогает ему выбраться оттуда и слон говорит:
- Мужик, емае я это никогда не забуду, и убегает
Проходит 20 лет и этот мужик сидит в цирке. Вдруг выходит слон, видит этого мужика и бежит к нему по пути растоптав всех, кто был рядом. Слон обхватывает мужика хоботом, приподнимает, а затем вбивает его в землю и убивает. Это был другой слон",NOISE,Irrelevant joke/story content
Мне одному как то все равно что происходит в палестине?,NOISE,Asks about shared opinion
"Вот такой ВА я привык наблюдать, - везде срач и длиннопосты - все как я люблю",NOISE,Expresses personal preference/observation
"Студенты НУ. В комментах распишите почему вам не нравятся социалисты. Для контекста представьте что этот человек осуждает все возможные и невозможные грехи ссср, китая, и любых других социалистических стран. Просто в отрыве от всего. Человек просто топит за то чтобы рабочих уважали, платили нормально, чтобы ресурсы страны принадлежали народу, и тд. Чем они вам не нравятся? Отбросьте все стереотипы навязанные  капиталистами, по типу они отберут у вас всё, они злые анау-мынау. Объективно разьебите марксистов. аргументы по типу социализм не работает и тд не сюда, я хочу узнать именно про отношение к человеку с иным мировоззрением/t",NOISE,Initiating a debate.
"Я думаю начать принимать антидепрессанты, но боюсь побочных эффектов, можете пожалуйста поделиться опытом?",NOISE,Asking for advice.
"Народ, что делать с чертовой мигренью. У меня иногда просто начинается она посреди тусы с друзьями/групашами и я более не могу существовать с ними в одной вселенной. Атенданс тоже портится ведь на уроке анрил сидеть. Пью обезболы, но они вредят здоровью 
Any suggestion please",NOISE,Complaining about health.
"Почему мне откровенно похуй на учебу? Мне даже становится все равно на стипендию. Мой потолок это не уйти в пробейшн, а так нормально заживу Деп ойлап кетем иногда. И я понимаю что это не правильный аттитюд к образованию, все Тут чалят, куни туни Какойто бр курстын проценттерин ойлайд, а я даже нормально не хожу на лекции, ну не могу я себя заставить. Универден шыгып кетейн десем духм жетпейды перед родителями. Я не знаю….",DISTRESS,"Expressing apathy, helplessness."
Я тоже пропустил мидку у тена… БЛЯТЬ Я ДУМАЛ БУДЕТ В ПЯТНИЦК У НАС ЖЕ ВСЕГДА В ПЯТНИЦУ БЛЯТЬ ЧТО ДЕЛАТЬ,NOISE,"Expressing frustration, anger."
"В турче будто еда все хуже и хуже, я нашла маленькую букашку",NOISE,Complaining about food.
"Лол, не ожидал я что 10 числа вечером я все-таки буду в джиме",NOISE,Casual personal observation.
"что делать с anger issues? я сама ничего не начинаю, но если незнакомый человек просто встает на мое место в очереди, то остановить меня сложно. сегодня мне после ситуации с очередью взрослый мужик угрожал.
со злостью что то делать надо. и не хочу подавлять злость словами «надо простить и отпустить», лучше предложите способы дать человеку ответку так, чтобы не прилетело.",NOISE,Asking for advice.
"Пиздец нахоой!
Панки, хой! 
Облил мочой 
Ты тупой,
А я бухой!",NOISE,"Aggressive, nonsensical rant."
"Это может прозвучать странно, но мысли о смерти и потенциальном суициде делают меня смелее. Это типа живи так как если сегодня это твой последний день. Кажется эта мысль уже звучала под одним из постов. Я часто думаю что я совершил много ошибок и я бесполезен, но мысль о потенциальном суициде придает мне уверенности. Зачем если можно делать полную дичь? Можно пробовать делать то что ты боялся, жизнь и так конечна.",ALL_OR_NOTHING,Self-labeling as useless.
"One day, I want to enter the space, I want to look to our earth, to the tiny sphere in the dark space. I want to forget about all of my problems, all of my anxiety and just stare to this beautiful image. And yes, I will definitely cry, huh",DISTRESS,Expressing desire to escape anxiety.
"idk what im doing wrong. i always try to help first, i can calm person and comfort them in their own way. always chose them over myself. i try so hard that even sometimes i forget about myself at all. i do everything i can.. why can’t they do that the same? is it still not enough? am i still not enough?",ALL_OR_NOTHING,"Global self-criticism, absolutes."
Мне кажется или никто из стаффа в юмс работать не хочет?,MIND_READING,Assuming others' intentions.
"У меня часто бывают перепады настроения. То я теряю себя и не понимаю как от такого состояния избавиться, то слишком веселая и это все замечают, но не со всеми я так себя веду и показываю. 
Не то что бы меня это беспокоило, но как то странно себя ощущаю при этом. Может просто надо наконец-то разобраться в себе. Но как?
Или просто я такая личность",DISTRESS,"Expressing internal confusion, mood swings."
"Я читинг осуждаю и сам не читерю, но иногда думаешь типа вот бы щас зачитерить и не париться, но даже когда такие мысли приходят, то остается страх, что спалят и будет мискондакт, а нахуй оно мне надо. Но при этом и другим вредить я не хочу, поэтому никогда не пойду сдавать людей. Я даже их не знаю, вдруг у них проблемы в жизни какие-то или он вообще не хочет быть в этом университете, но у него жесткие родители и тд, всякое может быть, так что зачем причинять потенциальное зло людям, даже во имя справедливости.",NOISE,"Ethical reflection, moral dilemma."
"мне кажется чтобы не читить и идеально учиться надо родиться в идеальной семье, где тебе делают все условия, многие ребята работают и не успевают, читинг из окей <3",ALL_OR_NOTHING,All-or-nothing thinking about success.
"почему работать учителем после НУ зазорно? мне всегда хотелось быть учителем математики и показывать детям, что этот урок не такой сложный. но когда я говорю, что хочу им быть, то получаю осуждающие взгляды",NOISE,Complaining about social perception.
"Sleeping two hours a day, having frequeny headaches and nose bleeding, eating once in a two days, am I going to die?",DISTRESS,Expressing health anxiety.
"Наверное это какая то моя психическая травма. Всю жизнь я избегал общения с девушками. Мне ужасно мерзко лишь от одного присутствия девушек. Может быть это связано с тем что меня избивала моя мама в детстве, еще надо мной издевались в школе одноклассницы. Когда начался ковид, учеба ушла в онлайн и хотя бы на 1.5 года стало лучше. Плюс я ушел из семьи, жил отдельно на сьемной квартире весь 11 и 12 классы и gap year. Благодаря этому получилось не поддерживать контакты с семьей, особенно с конченой матерью. Тогда я пытался решить свою проблему с психологами, но нихуя не получилось. Я просто не могу принять девушек, не считать их всех таким же мразями как тех, что повстречал в своей жизни. Но теперь я снова должен находиться в одном помещении с девушками. И это нежелание даже находиться около девушек особенно стало заметно в последнее время. Стараюсь никогда не приходить заранее на лекции, лишь бы только с девушками никогда не разговаривать и никогда не находиться с ними близко.",ALL_OR_NOTHING,Generalizing negative experiences.
"I STILL BELIEVE IN YOUR EYES
I JUST DON'T CARE WHAT YOU HAVE DONE IN YOUR LIFE
BABY, I'LL ALWAYS BE HERE BY YOUR SIDE
DON'T LEAVE ME WAITING TOO LONG, PLEASE COME BY",NOISE,"Song lyrics, emotional plea."
"Я так люблю котов и ненавижу собак. Я могу покормить кота на улице, ведь я ношу пачку вискаса всегда со мной. И я терпеть не могу людей кормящих бездомных собак. Вы можете подумать что у меня двойные стандарты, но нет, мы разные. Коты не нападают на людей, не загрызают детей на улицах. Я не могу понять, почему люди в нашей стране так бездумно заводят собак, бросают их, и яростно защищают от любых мер борьбы с бездомными собаками. Обьясните!",MIND_READING,Anticipates others' negative thoughts.
"I don't know what is my problem. I know that i am beautiful, but I don't FEEL it. Sometimes i catch myself staring at my own picture and dreaming 'oh, i wish i was her' but then i realise that i AM that person. I have some disconnection with my appearance, i feel like i have  this problem because i use makeup, but all my friends say that makeup literally doesn't change anything about me??? I really love myself, but when it comes to my body, i feel like it's not mine, is it something psychological or smth??
Maybe someone will understand me.",DISTRESS,"Expresses internal struggle, disconnection."
"У меня скорее всего будет 45% по физике, до пасса керв дадут?",NOISE,Asking for academic information.
"Стоишь с утра снимаешь таймлапс рассвета, греешься внутри универа, иногда выходишь чекнуть камеру. Ждать 2 часа, ходишь читаешь всякие НУшные билдборды и охрана такая:

- Не ходите тут, мы тут одни, вдруг чего-то украдёте

- Я снимаю рассвет, красть ничего не буду

- Какой рассвет, всё, рассвета не будет!

- В смысле не будет •_•",NOISE,Recounts situational complaint with security.
"Люди, которые сосут свои одноразки в дейли, сиксинче и так далее — полные уебки. У меня все.",NOISE,Expresses external anger/disgust.
"Ребята, давайте уважать друг друга. Я сам смотрел и болел за нашу сборную, но я не шумел ведь рядом спали люди. Нужно уважать себя и других, ведь у кого то может быть что то приоритетнее в жизни. Не нужно прикрываться тем что раз в году можно, правила есть правила и их должны соблюдать. «Один раз можно» это как если бы вы предложили взятку за нарушение. Давайте искоренять из себя эти позывы «коррупции», и будем добры друг к другу.
Людям которые помешали эти шумы, прошу отнестись с пониманием. Все мы люди и эмоции выпускаются неосознанно, но давайте не оскорблять друг друга, и не нести негатив в комментариях. Давайте все не будем этими хейтерами в комментариях, и не будем оскорблять и высмеивать друг друга. И надеюсь все понимают, что есть шутки и никто не обижается.",NOISE,"Social commentary, call for respect."
"я все понимаю, это эмоциональный момент, но не знаю, меня пугают громкие крики, ОСОБЕННО мужские, мб это ptsd. вчера когда я услышала (а еще учитывая, что это было ночью, когда обычно в такое время тишина), то чуть инфаркт не словила. мой случай скорее исключение, и никто не обязан такое учитывать, но все равно, было немного некомфортно :((",DISTRESS,"Expresses fear, anxiety, potential trauma."
"Те кто жалуются в ва на ночной шум, вы также жалуетесь на громкие разговоры в лайбе? Попробуйте сказать мне в лицо это в следующий раз, увидите, разговор будет совсем другим.",NOISE,"Confrontational, external anger/challenge."
Всем Здорово племянник кинул ссылку на ваш сайт типа игры смотреть хуёмоё можно за дела житейские перетереть. я пока невкурил как тут лайк ставить я если чё димас просто димка))) расскажите как дела чё делаете вообще я с таганрога,NOISE,"Introductory message, asking questions."
"Ты не представляешь как мне все равно. Мне глубоко наплевать объективизируют, субъективизируют и другие новые слова этой эпохи. То что мнение людей в какой то части формируется по тому как ты выглядишь можно было бы и понять за второй десяток, а для кого и за конец первого десятка лет жизни.",NOISE,"Expresses indifference, dismisses opinions."
"Я осуждаю поступок человека, создавший facemash. Я так же понимаю, что facemash ударил по психике очень многих девушек, и им было очень плохо. Однако, за такой проступок вы ему хотите испортить жизнь. Он еще молодой, максимум 24 года. Пока что глупый, наверное подумал, что это будет смешно. Я считаю, что его надо наказать, но не так грубо как хотят девушки, это слишком жестко для такого. В такие случаи надо принимать решения с холодной головой, отсеяв все эмоции.
Сразу же предвижу комментарии по типу: 'мужик защищает мужика' - мне глубоко плевать какого он пола, нельзя рушить жизнь человека из за такого объективно безобидного проступка. 'Ты просто не понимаешь что ощутили девушки' - да, я конечно же не понимаю, я не девушка, но объективно ситуацию оценить могу.",MIND_READING,Anticipates others' negative judgments.
"I think in heat of situation, we started forgetting uyghurs? Never forget",NOISE,"Political/social comment, reminder."
"заметил что я очень часто захожу в телеграмм, проверяю чаты. и даже ничего никогда не пишу, но все равно постоянно все читаю, это как зависимость уже. И телеграмм удалить не могу",DISTRESS,"Describes compulsive behavior, inability to stop."
"Почему я трачу столько денег на макияж ? Я вижу по скидки красоту, и я не могу контролировать себя и покупаю.  Я раньше никогда не красилась и не пользовалась косметикой, а щас ….",DISTRESS,Expresses lack of self-control.
Пока все обсуждают фейсмаш никто не узнает что я люблю смотреть как голые накачанные мужики обмазываются маслом. Yeah oooh tick-tock heavy like a brinks truck looking like I'm tip-top,NOISE,"Humorous, irrelevant comment."
"Мне кажется все в точности наоборот по отношении того, кто это написал. Нормальным девушкам вообще похуй на это",NOISE,"Blunt, generalized opinion."
"Я хочу молотком вьебать себе в голову несколько раз, я заебалась уже от себя, своих эмоций, от своих чувств, от своих мыслей, я пиздец устала

_____________

Please, contact this address for help:

Health and Wellness Center (to find a psychologist) through telegram: @HWC_Duty_consultant 
Telegram phone: +7(775)759-38-44 
Working hours: 8:30-17:30 
Monday to Friday (except for public holidays) 
Lunch break: 12:30-13:30",DISTRESS,"Expresses severe self-hatred, exhaustion."
"Этот момент снова настал,когда еда теряет всякий вкус и меня все время тошнит. Нет желания ни есть,ни готовить или покупать еду. Внутри бесконечная грусть и боль.
А когда то я так мечтала здесь учиться,молилась чтобы поступить сюда. Так почему же я так несчастна?! Неужели я настолько неблагодарна и так легко сдалась Ненавижу себя из-за этого",DISTRESS,"Profound sadness, self-hatred, anhedonia."
"знаете, ребята. я работаю руководителем на full time job и чувствую, что по ощущениям намного старее всех своих сверстников",DISTRESS,"Feels older, different from peers."
"Суицид - это выход?
У меня нет наклонностей, просто интересно узнать ваше мнение",NOISE,Hypothetical question about suicide.
Нужен парацетамол asap (pls I'm bout to die),NOISE,"Situational complaint, asking aid."
Почему у нас не было нормального посвящения?Или это я все пропустил?,NOISE,"Situational complaint, question."
"Убили ли бы вы чужого младенца, в которого вселилась ебучая крыса-король? Сука я блять чтобы убить эту крысу прошёл пиздец какой путь в тёмном пространстве и сразился с дохуя опасной нечистью, в итоге она забежала в чей-то дом и вселилась в их ребёнка. Типо блять он стал белым как та крыса, при этом он лежал прям рядом с матерью. Я слишком долго думал и проснулся, но как бы вы поступили на моём месте? Убили бы ребёнка ради спасения будущих жертв этой хуеты(и самих себя, если она придёт отомстить)? Учтите что крыса пиздец какая злая, но вас бы потом посадили за убийство ребёнка.",NOISE,Asking ethical hypothetical question.
"Девушка, которая писала тот самый пост о НУ лейдис. Этот пост - единственный способ выразить мою тебе поддержку. Я солидарна с тобой, очень хотела бы тебя обнять. Всегда найдутся несогласные и оскорблённые на любой пост! Не обращай внимания на весь хейт и злостные колкости в свой адрес. У каждого в этом мире свой собственный вид тараканов в голове! Сколько людей, столько и мнений ёмоё! Шлю тебе искреннее тепло⁠♡",NOISE,Message of support/advice.
"Вот иногда думаю что лучше ничего не делать, ведь последствия себе дороже. К примеру, Атака титанов - если бы ерен джагер и пацаны сидели на попе ровно - не было бы приколов типа мировой войны. Так что, думаю лучше сидеть на попе ровно. В чем я не прав?",NOISE,"Philosophical reflection, asking opinion."
"Вот вы никогда не думали чем живут другие люди? Не в плане сплетен, а вот просто интерес искренний. Чем увлекаются, с кем общаются, куда ходят. У меня этот интерес вызывает апатию. Потому что чем больше у меня знакомых я понимаю что я каждон мгновение теряю время узнать другого человека. И даже чисто теоретически я не смогу даже с каждым нушником своего потока познакомиться. Не говоря уже а людях на всей планете.

Как-то в тоску вгоняет, лежишь потом и все ещё продолжаешь интересоваться чем живут другие люди.",DISTRESS,Expresses apathy and melancholy.
"Знаете, я как камень. Нет, не в том смысле что я твердый и нерушимый, хотя и это есть - я просто как камень. Все вокруг суетятся, бегают как белки в колесе, боятся чего то упустить, быть хуже других. А я - камень. Мне все равно. Что бы люди не делали, и я, и они будем в будущем. Да, возможно у них там будет что то что они хотели, будут чувствовать себя хорошо. Но знаете что? Я как камень - мне ни плохо, ни хорошо. Что бы там не было, я тоже буду существовать. Но я как камень - ни тепло, ни холодно. Просто как камень. Эти люди могут в процессе упасть, потерять себя в пучине отчаяния. Ну а я как камень - всегда буду как всегда. Как камень.",DISTRESS,"Describes emotional numbness, apathy."
"Чувствую что Я робот
Я всегда один
Мне удобно
Люди думают Я странный и умный
Мне похуй
Я робот",MIND_READING,Assumes others' thoughts about self.
"Не знаю, вроде и хочу с ссх перевестись на кс, но некоторые говорят что образование кс здесь это просто пустышка, и Я ничего от этого не получу. Экономика, тоже потенциальный деклейр, мне очень нравится, но хотелось бы в айти тоже",NOISE,"Seeking advice, considering options."
Мне кажется или щас в последнее время всеее болеют гриппом?,NOISE,"General observation, asking question."
"Лет пять назад когда я сдавал ент у меня была теория. После того как все мои одноклассники списали, а я нет так как уже поступил сюда и сдал его по приколу, я понял почему на некоторые специальности нужны очень высокие баллы. Потому что те кто списывают, а как по мне это почти все, они искусственно завышают планку, и те кто готовился но набрал не прям много, 80-100,страдают.
И средний должен быть намного меньше по моему
Я был прав?",NOISE,"Theory about system, asking validation."
"Мой парень, нушник, кс, снял хоум видео со мной и потом угрожал мне сливом данного видео моим родителям. Это было несколько месяцев назад, мы до сих пор в отношениях. Что делать? Это не вброс, извините что пишу так мало подробностей. Он всегда рядом. Я согласия на видео не давала. Он снял меня без моего ведома и согласия",NOISE,Describing serious external problem.
"Если вас скоро отчислят и вы хотите стать популярными: 
1. Запишите видео о том как вы хейтите НУ и то что она вся в коррупции и выложите в тикток/инстаграм
2. Как только вас отчислят, обвините НУ в том что они отчисляют вас из-за того самого видео

НУ никак не сможет оправдаться, а народ будет верить вам так как они итак ненавидят НУ. Я считаю гениально",NOISE,"Cynical suggestion, not personal distress."
я попал на пробу что делать? надо в спринге выйти с нее и все?,NOISE,Asking for advice.
"Бля какая же я тупая, я реально, ну мне лучше умереть чем родиться было",ALL_OR_NOTHING,"Absolute self-labeling, extreme despair."
"я хотел помочь людям приготовить квас, выложил видео в тикток. видео набрало много просмотров, но все люди в комментариях пишут, что у них диарея. теперь никто всерьез не воспринимает мои рецепты. что мне делать?",NOISE,"Situational complaint, asking advice."
"с недавнего времени мне начали сниться кошмары на регулярной основе. Раньше всё обходилось лишь тем, что в этих страшных сновидениях были мои страхи. Рак у близких/знакомых (в действительности, кстати, всё подтвердилось), пауки, тарантулы. Это происходило раз в 1-2 месяца, но все разы были настолько реалистичными, что только с припадками пробуждаюсь и запоминаю надолго.

Сегодня просыпаюсь от того, что мне снится ад. За пару недель, это уже не первый раз. Самое ужасное - мои попытки пробудиться, ибо тот мир так сильно удерживает мое подсознание, и я буквально схожу с ума от того, что нахожусь на ощутимой грани между кошмаром и реальностью, а до конца проснуться и «освободить» себя не получается. 

если кто-то сталкивался с таким, как вы справлялись? Скорее всего это от недосыпа и стресса, но даже после попыток изменить образ жизни, особой пользы от этого не было",DISTRESS,"Describes severe nightmares, anxiety."
"Первый курс. Завалил экономику, скоро завалю химию. Я буду не первым человеком здесь, который скажет, что больше не хочет жить. Просто руки опускаются от того, что не выходит ничего нормально. Не могу сказать, что я ничего не делаю и не занимаюсь часами. И всё равно.
На первом же семестре первого курса слечу со стипендии, попаду на пробу, сигану с моста. Две F за первый семестр курса - это сильно, кажется я вообще самый худший студент
Стипендию ведь не вернут посреди следующего семестра при текущих?
Короче... отчаяние",DISTRESS,"Expresses despair, suicidal ideation."
Это нормально что мне спокойней когда всем вокруг хуево так же как и мне?,NOISE,Asking about personal feeling.
"Я всегда о чем то тревожусь. На данный момент я тревожусь о том что я потенциально могу остаться на пятый год. Это портит мне все дни. И вчера ко мне пришла мысль, которая меня, как ни странно, не посещала до этого. По факту, я сейчас на 1 курсе, и до 4 курса мне еще жить и срать. И если я так и продолжу постоянно волноваться, но в итоге даже не останусь на пятый год, тогда все эти 3 года я проведу в негативном состоянии? Это как то тупо пиздец.  Я просто представил, что если реально, у меня не будет никаких проблем с градуейшном?  Тогда я оглянусь на свое прошлое, и пойму что просрал все универские годы в тревоге. Поэтому с этого дня решил волноваться о проблеме только по мере ее наступления. Надеюсь у меня получится",DISTRESS,"Expresses constant anxiety, worries."
"I'm a simple girl who wants simple things  
Сейчас все девушки так одержимы карьерой и несомненно иметь образование - очень важно, нужно развивать себя и я верю что в момент когда человек перестает развиваться, он умирает. I'm also a girls' girl, поддержу любые идеи и мечты которые могут быть у других, но не понимаю почему никто не может сделать того же для меня. 
Я хочу семью, хочу детей. Мой главный приоритет в этой жизни - семья и чтобы все в ней были счастливы, я могу пожертвовать карьерой ради своих(будущих) детей. Также хочу любящего мужа, любить его и делать всё что в моих силах чтобы поддержать его в его развитии. Не нахожу ничего зазорного в том чтобы готовить для него, заботиться о нём. I am ready to give up on my career and be a housewife, просто хочу иметь семью и давать им свою любовь. Создать 'семейный очаг'. Почему другие не могут этого принять? Почему сейчас эти желания считаются странными? Буквально каждая девушка которой я это говорила считает меня ненормальной и пытается исправить это, 'направить' меня и доказать что работа - самое главное в жизни человека. У всех свои приоритеты, свои желания и свои цели. Просто примите что все люди разные, и живите счастливо. It literally makes me so sad that nobody understands me",ALL_OR_NOTHING,"Uses absolute terms like 'nobody', 'every girl'."
"Ахтар сегодня сделал мне финальный фистинг. Теперь грустно, мне все нравилось",DISTRESS,Expresses sadness and emotional pain.
People 'always' fall for wrong or taken ones when I still can't let you go,ALL_OR_NOTHING,Uses the absolute term 'always'.
"Что-то на меня жесткая грусть напала, я так не хочу покидать это место. Провела в этом социуме пять лет своей жизни, онлайн забрал целых полтора года и от этого будто еще сильнее не верится, что скоро конец. Предпоследний семестр пролетел незаметно, и я кажется только-только прониклась полноценной студенческой жизнью, а уже через полгода у меня это заберут. Всегда есть вариант остаться здесь на магу (если примут, лол), но это выглядит как стагнация. Понимаю, что нужно двигаться дальше, но не могу ничего поделать с чувством того, что покидаю действительно родное место. Короче, младшие ребята, цените это прекрасное время и наш уник со всеми его плюсами и минусами, вы скорее всего будете очень скучать <3",DISTRESS,Expresses deep sadness about leaving.
