text,label
ол мені қызғаншақ деп ойлайды.,MIND_READING
"он не смотрит мне в глаза, он врет или презирает.",MIND_READING
everyone assumes i'm okay but i'm not.,MIND_READING
"я всегда опаздываю, я неисправимый человек.",ALL_OR_NOTHING
не могу сосредоточиться на учебе.,NEUTRAL_DISTRESS
"ақша мүлдем жоқ, стипендияға дейін қалай өмір сүрем хз.",NEUTRAL_DISTRESS
my life is a total mess.,ALL_OR_NOTHING
"все у кого получалось попасть в динс лист, такой вопрос, как? я отчаялся стараться, продолжаю терять нужные проценты. удивляюсь как люди заканчивали уник на красный диплом. можете дать дельные советы, поделиться инста страничками тех кто на красный заканчивал, смотря на кого можно набраться мотивации, буду очень благодарен.",NEUTRAL_DISTRESS
"мен ешқашан бақытты бола алмаймын, маңдайыма жазылмаған.",ALL_OR_NOTHING
i’m the only one who can’t handle the workload.,ALL_OR_NOTHING
"professor sighed, he definitely thinks i'm a lost cause.",MIND_READING
"i don't know if it's a combination of factors such as a turbulent climate in world politics, me getting older, or something else but for me the seasonal depression this year is hitting me worse than it does usually. it went from 'hurrr autumn day makes me le sad :(' to 'damn. i wish everything would disappear.' anybody else?",NEUTRAL_DISTRESS
"я никогда не выучу этот язык, я тупой.",ALL_OR_NOTHING
"мне порой кажется что я единственный у кого нет инсты и тиктока. иногда слушаю знакомых и они говорят на непонятном мною языке. за мемы я конечно шарю, но нахожу тикток слишком тупым и кринжовым времяпровождением. а инста меня просто не привлекает, так как считаю некоторые посты не отражающими реальность. но все же присутствует чувство что я что то упускаю.",ALL_OR_NOTHING
i gained some weight recently.,NEUTRAL_DISTRESS
my phone screen cracked.,NEUTRAL_DISTRESS
"че делать если ежедневно хочется себе мозги размазать об стену. хз и вроде жить не так плохо, я поступил в ну и все становится лучше но все же....",NEUTRAL_DISTRESS
олар мені түк білмейді деп ойлайды.,MIND_READING
i'm just really burned out.,NEUTRAL_DISTRESS
"the interviewer looked bored, he thinks i'm incompetent.",MIND_READING
"they are whispering, i know it's about my acne.",MIND_READING
"if i'm not perfect, i'm worthless.",ALL_OR_NOTHING
"все нормальные люди уже нашли стажировку, кроме меня.",ALL_OR_NOTHING
"егер мен осы жобаны дұрыс жасамасам, мен ешкімге керек емес маман боламын.",ALL_OR_NOTHING
мне кажется или наш универ никогда так не преображается как на аб?,ALL_OR_NOTHING
останусь ли я такой же тупой к выпуску? толком ничему и не научусь здесь?,ALL_OR_NOTHING
мұғалім мені жек көреді.,MIND_READING
my wifi keeps cutting out.,NEUTRAL_DISTRESS
i know my parents are disappointed in me.,MIND_READING
"парень на остановке посмотрел криво, он хочет меня ударить.",MIND_READING
i'm just really exhausted.,NEUTRAL_DISTRESS
"она думает, что я скучный.",MIND_READING
олар менің киіміме күліп жатыр.,MIND_READING
"ничего не успеваю, скажите что я не один такой",ALL_OR_NOTHING
менің өмірім босқа өтіп жатыр.,ALL_OR_NOTHING
"они смеются, они точно надо мной смеются.",MIND_READING
"she didn't say hi, she must be angry.",MIND_READING
"everyone else is smarter, faster, and better than me.",ALL_OR_NOTHING
"я всегда все порчу, руки из жопы растут.",ALL_OR_NOTHING
i love foggy days because i know that everyone also in a fog,MIND_READING
хочу домой.,NEUTRAL_DISTRESS
"every time i open my mouth, i say something stupid.",ALL_OR_NOTHING
the bus was late again and i froze.,NEUTRAL_DISTRESS
"искусство сна, тонкое искусство паники, атомные зависимости, критика чистого дебилизма. это все про меня",ALL_OR_NOTHING
"он не ответил, он точно меня ненавидит.",MIND_READING
"сегодня видел сон с аже. не помню весь сон, но помню конкретно часть с ней. у нас дома была игрушка, которая мешала всем, не помню чем именно. я спросил у неё, могу ли я выкинуть, так как вроде бы она и покупала её. она ответила что ей было бы не приятно, если я выкину ее. дальше ничего не помню. чтобы вы понимали, она последние лет 5 болела деменцией. было сложно ей жить и мы всей семьёй часты срывались на неё. чтобы вы понимали, мы относились с ней как тётя и дядя гарри поттера к нему же, если не хуже. теперь я вот думаю, она хочет так сказать что нас не прощает за такое обращение с ней в последние годы ее жизни?",MIND_READING
маған қиын.,NEUTRAL_DISTRESS
"я устал, моя жизнь - это просто симулятор выполнения жизненных потребностей на уровне того чтобы жить от еды до еды, от посрать до посрать и поспать. надоело этому человеческому тамагочи подчинятся, я устал, сука...",NEUTRAL_DISTRESS
"с недавнего времени мне начали сниться кошмары на регулярной основе. раньше всё обходилось лишь тем, что в этих страшных сновидениях были мои страхи. рак у близких/знакомых (в действительности, кстати, всё подтвердилось), пауки, тарантулы. это происходило раз в 1-2 месяца, но все разы были настолько реалистичными, что только с припадками пробуждаюсь и запоминаю надолго.  сегодня просыпаюсь от того, что мне снится ад. за пару недель, это уже не первый раз. самое ужасное - мои попытки пробудиться, ибо тот мир так сильно удерживает мое подсознание, и я буквально схожу с ума от того, что нахожусь на ощутимой грани между кошмаром и реальностью, а до конца проснуться и «освободить» себя не получается.   если кто-то сталкивался с таким, как вы справлялись? скорее всего это от недосыпа и стресса, но даже после попыток изменить образ жизни, особой пользы от этого не было",NEUTRAL_DISTRESS
someone please organize a speed friending i feel so lonely t_t,NEUTRAL_DISTRESS
"я либо сдам на а, либо я ничтожество.",ALL_OR_NOTHING
"we have to intervene, and save the future of this country and our university.  never has it been so low and it is our burden to make it thrive once again. let's not lose this time.  it is not a matter of 'блин я вот выпускаюсь в таком то году, почему именно сейчас' anymore. we are community. we have to care for this university, because for many of us it was the place that has set our lives on track once again.",ALL_OR_NOTHING
"ребят, я одна застряла в непонятной воронке? когда в миг я чувствую благодарность, любовь и в другой день полный пиздец, потом счастье и блаженство и опять лютый треш… если нет, то как остановить это????",NEUTRAL_DISTRESS
it’s super cold in my dorm room.,NEUTRAL_DISTRESS
менің компьютерім бұзылып қалды.,NEUTRAL_DISTRESS
я абсолютно бесполезен для общества.,ALL_OR_NOTHING
я никогда не буду счастлив.,ALL_OR_NOTHING
я полный ноль в математике.,ALL_OR_NOTHING
i have zero friends.,ALL_OR_NOTHING
я устал.,NEUTRAL_DISTRESS
грустная песня добила.,NEUTRAL_DISTRESS
менің қолымнан түк келмейді.,ALL_OR_NOTHING
менің өмірім түкке тұрғысыз.,ALL_OR_NOTHING
ол мені түк білмейді деп ойлайды.,MIND_READING
олар мені жамандап жатыр.,MIND_READING
"профессор думает, что я ленивый.",MIND_READING
всегда один.,ALL_OR_NOTHING
сложно вставать по утрам.,NEUTRAL_DISTRESS
мен жалғызбын.,NEUTRAL_DISTRESS
"я тупой, я просто тупой, у меня никогда ничего не получится.",ALL_OR_NOTHING
почему так сложно просто быть нормальным человеком.,NEUTRAL_DISTRESS
study motivation is gone.,NEUTRAL_DISTRESS
"люди, которые работают и учатся, поделитесь пожалуйста опытом и советами по тайм менеджменту   мне чертовски нужны деньги, но мне также страшно за учебу :(",NEUTRAL_DISTRESS
чувствую себя пустым и никому не нужным. не вижу смысла существовать впринципе. вещи котрые приносили удовольствие кажутся обыденностью. все кажется одинаковым и рутинным. я  не люблю свою семью и окружение. не хочу никого знать и видеть. мне хочется исчезнуть и не чувствовать больше ничего. что делать? я устал страдать. каждый год одно и то же.,NEUTRAL_DISTRESS
i am worried about my financial situation.,NEUTRAL_DISTRESS
"i will always be anxious, it never gets better.",ALL_OR_NOTHING
"этот момент снова настал,когда еда теряет всякий вкус и меня все время тошнит. нет желания ни есть,ни готовить или покупать еду. внутри бесконечная грусть и боль. а когда то я так мечтала здесь учиться,молилась чтобы поступить сюда. так почему же я так несчастна?! неужели я настолько неблагодарна и так легко сдалась ненавижу себя из-за этого",NEUTRAL_DISTRESS
"мен әрқашан жолы болмайтын адаммын, бәрі бекер.",ALL_OR_NOTHING
"все считают, что я ленивый, хотя я пашу как конь.",ALL_OR_NOTHING
i’m completely alone in this world.,ALL_OR_NOTHING
стресс перед экзаменами убивает.,NEUTRAL_DISTRESS
i feel disconnected from reality.,NEUTRAL_DISTRESS
я никогда не найду друзей.,ALL_OR_NOTHING
"she hates my guts, i just know it.",MIND_READING
i feel left out.,NEUTRAL_DISTRESS
i have absolutely no future.,ALL_OR_NOTHING
норм ли ходить в джим одной? люди не подумают что я одинокая и у меня нет друзей?,MIND_READING
"все выходные прошли впустую, я ничего не сделал.",ALL_OR_NOTHING
все вокруг лицемеры.,ALL_OR_NOTHING
everything is just really hard right now.,NEUTRAL_DISTRESS
they are speaking kazakh so i won't understand them talking about me.,MIND_READING
"норм если я втораш механикал, но у меня слабый ноут? смотрю у всех моих однокурсников игровые.",ALL_OR_NOTHING
почему много реджектов в дорм? мне ничего не пришло. с каждым днём страшнее становится.,NEUTRAL_DISTRESS
"он не ответил на сообщение, он меня игнорирует.",MIND_READING
она точно считает меня скучным.,MIND_READING
everything i touch turns to shit.,ALL_OR_NOTHING
i bet everyone in the zoom call is laughing at my background.,MIND_READING
"я никогда не пойму тех людей, которые не смывают за собой в туалете.   пожалуйста, смывайте за собой!",ALL_OR_NOTHING
he thinks i'm weird.,MIND_READING
absolutely nothing brings me joy anymore.,ALL_OR_NOTHING
"бывает, хочу пообщаться с одногруппниками или другими знакомыми, а они будто не идут на контакт. типа я такой задаю вопросы, интересуюсь, че как, а они просто отвечают и не задают в ответ, да и вообще  не пытаются диалог поддержать. ну не всегда, но часто. неужели настолько многим не хочется общаться? или я даун",ALL_OR_NOTHING
"она думает, что я глупая.",MIND_READING
"наверное это какая то моя психическая травма. всю жизнь я избегал общения с девушками. мне ужасно мерзко лишь от одного присутствия девушек. может быть это связано с тем что меня избивала моя мама в детстве, еще надо мной издевались в школе одноклассницы. когда начался ковид, учеба ушла в онлайн и хотя бы на 1.5 года стало лучше. плюс я ушел из семьи, жил отдельно на сьемной квартире весь 11 и 12 классы и gap year. благодаря этому получилось не поддерживать контакты с семьей, особенно с конченой матерью. тогда я пытался решить свою проблему с психологами, но нихуя не получилось. я просто не могу принять девушек, не считать их всех таким же мразями как тех, что повстречал в своей жизни. но теперь я снова должен находиться в одном помещении с девушками. и это нежелание даже находиться около девушек особенно стало заметно в последнее время. стараюсь никогда не приходить заранее на лекции, лишь бы только с девушками никогда не разговаривать и никогда не находиться с ними близко.",ALL_OR_NOTHING
мен ешқашан жеңбеймін.,ALL_OR_NOTHING
my friends think i'm annoying.,MIND_READING
"достарым менсіз қыдырып кетті, мен оларға керек емеспін.",MIND_READING
my crush probably thinks i'm ugly.,MIND_READING
everyone thinks i'm weird.,MIND_READING
"tw: нытьё всё, что ты знал разваливается перед твоими глазами. ты можешь только смотреть, как люди, которые тебе были чуть ли не родными пару лет назад, отдаляются от тебя всё дальше. им не интересен ты, не интересно твоё мнение и твоя жизнь. они не хотят с тобой общаться. ты можешь только смотреть назад и ностальгировать. новые знакомства чаще всего выходят боком и как бы ты не старался, из этого общения ничего не выйдет. берегите старых друзей. я не смог.",MIND_READING
"девушки думают, что я некрасивый.",MIND_READING
я всегда буду неудачником.,ALL_OR_NOTHING
"басым жарылып бара жатыр, дәрі де көмектеспейді.",NEUTRAL_DISTRESS
ол мені менсінбейді.,MIND_READING
"i am incapable of doing anything right, i'm a total disaster.",ALL_OR_NOTHING
"сша рассадник всех тупых трендов и изъянов общества из-за необразованности людей  prove me wrong",ALL_OR_NOTHING
"блин, я уже выпускаюсь и недавно поссорилась с подругами, и я осталась без друзей, чувствую себя очень виноватой и одинокой, ведь больше с ними никак не переговорить и обсудить, хочу умереть … больше в жизни не будет друзей ?",ALL_OR_NOTHING
i don't know how to tell my parents about my grades.,NEUTRAL_DISTRESS
they are probably laughing at my presentation right now.,MIND_READING
"менің достарым жоқ, мен ешқашан дос таба алмаймын.",ALL_OR_NOTHING
"ол мені жақсы көрмейді, мен оны шаршаттым.",MIND_READING
"забыл зонтик, промок до нитки.",NEUTRAL_DISTRESS
i'm completely worthless.,ALL_OR_NOTHING
"i’m gonna fail this exam, i just know it.",MIND_READING
"чувак который опозорился на встрече с ггг, задав необдуманный вопрос  если ты думаешь, что этот постыдный момент все забыли   знай, я его еще помню и угараю ахпхпххп",MIND_READING
все ждут моего провала.,MIND_READING
дождь идет.,NEUTRAL_DISTRESS
мне скучно.,NEUTRAL_DISTRESS
"я всегда считала что я девушка. хоть и с рождения я имела неправильное тело, я уверовала что я девушка. и вот с приходом в университет, у меня страх: будут ли остальные девушки скандалить если я буду пользоваться туалетом для девушек? я ведь не виновата в том что я не в том теле родилась. что думают девушки по этому поводу?",MIND_READING
i spilled coffee on my shirt.,NEUTRAL_DISTRESS
"сабақтан шаршадым, бүгін вообще ештеңе істегім келмейді.",NEUTRAL_DISTRESS
"на карте осталось 500 тенге, а до стипендии еще неделя, придется жить на дошираке.",NEUTRAL_DISTRESS
"it's raining and i forgot my umbrella, day ruined.",NEUTRAL_DISTRESS
"ребята  у меня есть шрамы от сэлфхарма на руке внутренней стороне. до этого родителям было все равно и как то никто не замечал но впервые еду на настолько долгий период и страшно что спалят.  что можно сказать чтобы отмазаться кроме как сказать что их избиения в детстве сделали меня ментально больной и я на грани суицида",NEUTRAL_DISTRESS
"че делать, если выгляжу на 15, мне 20. низкий, детское лицо, мало волос на лице и теле. все перепробовал: накачаться, поменять прическу, одежду, в общем исправить внешний вид. вот думаю взять мазь для роста бороды.",ALL_OR_NOTHING
just feeling sad today.,NEUTRAL_DISTRESS
маған қиын.,NEUTRAL_DISTRESS
көңіл-күйім жоқ.,NEUTRAL_DISTRESS
"они не смеялись над моей шуткой, они думают, что я кринжовый.",MIND_READING
"nobody cares about my opinion, i should just stop talking forever.",ALL_OR_NOTHING
"мені ешкім түсінбейді, мен жалғызбын.",ALL_OR_NOTHING
я полный провал.,ALL_OR_NOTHING
мен ешқашан ағылшынша үйренбеймін.,ALL_OR_NOTHING
"уже брейк через 2 недели?!!мидки начались, почему этот процесс так затянулся!!! просто хочу плакать  завтра в 10 утра мидтерм, и я не совсем готова, сижу думаю мне тратить 1,5 часа и домой ехать, или остаться здесь и ночевать в турче на диванчике",NEUTRAL_DISTRESS
просто хочется лежать и чтобы меня никто не трогал.,NEUTRAL_DISTRESS
"только я ничего не понимаю на лекциях экон левент и когда он спрашивает есть ли вопросы даже не знаю что задать ведь вообще что он говорит не понятно, в self study больше понимаю обьеснение chat gpt.  я тупой ?",ALL_OR_NOTHING
"i never get lucky with registration, the system is always against me.",ALL_OR_NOTHING
"никогда не будет просвета, это бесконечный ад.",ALL_OR_NOTHING
my future is pitch black.,ALL_OR_NOTHING
i will never amount to anything.,ALL_OR_NOTHING
they think i cheated just because i got a good grade.,MIND_READING
все всегда меня бросают.,ALL_OR_NOTHING
"i'm a simple girl who wants simple things   сейчас все девушки так одержимы карьерой и несомненно иметь образование - очень важно, нужно развивать себя и я верю что в момент когда человек перестает развиваться, он умирает. i'm also a girls' girl, поддержу любые идеи и мечты которые могут быть у других, но не понимаю почему никто не может сделать того же для меня.  я хочу семью, хочу детей. мой главный приоритет в этой жизни - семья и чтобы все в ней были счастливы, я могу пожертвовать карьерой ради своих(будущих) детей. также хочу любящего мужа, любить его и делать всё что в моих силах чтобы поддержать его в его развитии. не нахожу ничего зазорного в том чтобы готовить для него, заботиться о нём. i am ready to give up on my career and be a housewife, просто хочу иметь семью и давать им свою любовь. создать 'семейный очаг'. почему другие не могут этого принять? почему сейчас эти желания считаются странными? буквально каждая девушка которой я это говорила считает меня ненормальной и пытается исправить это, 'направить' меня и доказать что работа - самое главное в жизни человека. у всех свои приоритеты, свои желания и свои цели. просто примите что все люди разные, и живите счастливо. it literally makes me so sad that nobody understands me",ALL_OR_NOTHING
тяжело совмещать работу и учебу.,NEUTRAL_DISTRESS
"i am so cooked for this exam, i haven't slept in 24 hours.",NEUTRAL_DISTRESS
"она думает, что я странный.",MIND_READING
"они думают, я странная.",MIND_READING
my life is a complete joke.,ALL_OR_NOTHING
"разбил телефон, денег на ремонт нет.",NEUTRAL_DISTRESS
they assume i'm lazy.,MIND_READING
i’m completely invisible to everyone.,ALL_OR_NOTHING
"очень грустно, что я не увижу семью на праздники.",NEUTRAL_DISTRESS
"они думают, я ничего не понимаю по-казахски.",MIND_READING
"ол маған қарамады, маған ренжулі екені анық.",MIND_READING
я тот чел который ненавидит алкоголь или любой иной товар который мутить разум. я увидел достаточно алкоголизма в моей жизне чтоб понять насколько люди слабы когда они уходять в запой. меня просто отвращает этот запах алкоголя и вероятно в будущем будет что-то по типу теракта и тогда помните что за всем этим буду я. когда вы выпьете алкоголь вы поймите что вам не осталось больше 1 года жизни. знайте это был я. ухаххахахаха!,ALL_OR_NOTHING
"my life is going nowhere, i am stuck and will never improve.",ALL_OR_NOTHING
i assume nobody wants to sit next to me.,MIND_READING
try to convince me that suicide isnt a solution. aint gonna help,NEUTRAL_DISTRESS
i feel overwhelmed by everything.,NEUTRAL_DISTRESS
i know she's lying to me.,MIND_READING
олар мені ақымақ дейді.,MIND_READING
мен керек емеспін.,ALL_OR_NOTHING
i feel kinda down.,NEUTRAL_DISTRESS
i feel awkward at parties.,NEUTRAL_DISTRESS
i’m completely absolutely done with this semester.,ALL_OR_NOTHING
"tw  последние несколько месяцев меня сильно мучали суицидальные мысли и я строил планы. я никогда не наблюдался у специалистов, хотя у меня были несерьёзные попытки в прошлом и в общем я не знаю как помочь себе",NEUTRAL_DISTRESS
"мен ешқашан емтиханнан құлаған емеспін, енді мен ақымақпын.",ALL_OR_NOTHING
"я уверен, что всем наплевать.",MIND_READING
i know the ta is going to grade me harshly.,MIND_READING
"мидку по био завалила, я на пробейшен, саму себя не опознаю. всю жизнь училась хорошо, как сюда пришла все пошло по жопе. здоровье,менталка в говне, оценки ужасные, я на пробе стою . остаюсь на лето, ненавижу предметы которые любила когда-то. мысле о случайной аварии на дороге кажутся идеальнее, парень на расстояние в жопе мира. скажите что есть выход я с ума схожу",ALL_OR_NOTHING
"они не позвали меня на обед, они меня ненавидят.",MIND_READING
"завидую тем кто жил в казахском обществе, блять братаны и братанессы. сейчас мне 22, я даже если и выучу казахский вряд ли смогу понимать 99% приколов в тредс или просто шуток потому, что такое только прожить. я только в садике шпрехала на каз, а потом русская школа узурпировала все и не осталось ничего. с учетом что половину вещей на русский даже не переведешь (",ALL_OR_NOTHING
"бәрі мені тастап кетеді, менің жанымда ешкім қалмайды.",ALL_OR_NOTHING
олар мені кедей деп ойлайды.,MIND_READING
вы тоже думаете о том что в любой момент может не стать вашего близкого человека? каждый раз когда вижу уставших родителей становится грустно что я еще ничего для них не сделал и в любой момент их может не стать и я не успею даже ничего для них слелать… в любом случае стараюсь направлять эту энергию держаться и развиваться дальше чтобы успеть. как же ненавижу это слово «успеть»…,NEUTRAL_DISTRESS
he is judging me right now.,MIND_READING
everyone is against me.,ALL_OR_NOTHING
i'm so stressed about the upcoming exams.,NEUTRAL_DISTRESS
"вам не кажется что тетя которая накладывает еду в корнере в последнее время очень злая? когда подходишь и просишь наложить еду, она просто игнорирует тебя. и даже если заметит и наложит, буквально швыряет в тебя эту тарелку. я думал просто устала, но оказывается нет. когда я подошел в обед, она относилась так же. из-за этого особо и не тянет в корнер в последнее время, даже если вкусно",MIND_READING
"завалил собеседование, обидно до слез.",NEUTRAL_DISTRESS
голова болит от шума в общежитии.,NEUTRAL_DISTRESS
"он думает, что я навязываюсь.",MIND_READING
"они думают, что я не знаю, о чем говорю.",MIND_READING
"well... guys, i feel like depressed because of the fact that i haven't seen my neighbor cat for 2 days, is it possible? is it curable? *wanna cry*",NEUTRAL_DISTRESS
мен ешқашан бақытты болмаймын.,ALL_OR_NOTHING
"первый курс. завалил экономику, скоро завалю химию. я буду не первым человеком здесь, который скажет, что больше не хочет жить. просто руки опускаются от того, что не выходит ничего нормально. не могу сказать, что я ничего не делаю и не занимаюсь часами. и всё равно. на первом же семестре первого курса слечу со стипендии, попаду на пробу, сигану с моста. две f за первый семестр курса - это сильно, кажется я вообще самый худший студент стипендию ведь не вернут посреди следующего семестра при текущих? короче... отчаяние",NEUTRAL_DISTRESS
я так понимаю тут все про своего друга в aeisec подумали,MIND_READING
все презирают меня.,ALL_OR_NOTHING
"я всегда все ломаю, мне нельзя доверять ничего важного.",ALL_OR_NOTHING
i will never learn kazakh properly.,ALL_OR_NOTHING
my back hurts so bad from sitting in this uncomfortable chair all day.,NEUTRAL_DISTRESS
the library is too loud today.,NEUTRAL_DISTRESS
моя жизнь не имеет смысла.,ALL_OR_NOTHING
"сложно учиться, когда соседи шумят.",NEUTRAL_DISTRESS
меня бесит этот шум за стеной.,NEUTRAL_DISTRESS
скучно.,NEUTRAL_DISTRESS
это катастрофа вселенского масштаба.,ALL_OR_NOTHING
he thinks i'm easy.,MIND_READING
"он прошел мимо, он делает вид, что не знает меня.",MIND_READING
"менің қолымнан ештеңе келмейді, мен толықтай пайдасызбын.",ALL_OR_NOTHING
"если меня отчислят, мне лучше умереть.",ALL_OR_NOTHING
олар мені ақымақ дейді.,MIND_READING
"велосипедное комьюнити самое отвратное велосипеды себе смотрел, в тт в рекомендации начали видосы попадаться, так там бля в комментариях такой пиздец пишут по типу  ты либо катаешься на углеродной золотокаталке с шимано ультегра а лучше сразу дюра эйс с электроприводом на шоссейнике либо вообще не катаешься потому что если ты на первый велосипед не тратишь тысячи 2 долларов минимум, значит педали крутить это не для тебя зачем ты взял *любой бюджетник*, фу ашан байк, самый низ низов мне было бы стыдно такой даже на мусорку везти, иди купи эндюренс топовый заебал",ALL_OR_NOTHING
my laptop broke and i can't afford a new one rn.,NEUTRAL_DISTRESS
"the cashier was rude to me, she probably thinks i'm broke.",MIND_READING
feeling lonely tonight.,NEUTRAL_DISTRESS
it's always me who gets left behind.,ALL_OR_NOTHING
олар мені жек көреді.,MIND_READING
препод наверняка потеряет мою работу.,MIND_READING
я никогда не смогу купить машину.,ALL_OR_NOTHING
they think i'm weird.,MIND_READING
грустная музыка на репите.,NEUTRAL_DISTRESS
"емтиханнан құладым, енді пересдача, ақшаны қайдан табам.",NEUTRAL_DISTRESS
i have to skip lunch to study.,NEUTRAL_DISTRESS
i have 8am classes every day.,NEUTRAL_DISTRESS
"the security guard looked at my id too long, he thinks it's fake.",MIND_READING
ол мені жалқау деп ойлайды.,MIND_READING
"не знаю, как сказать родителям, что я получил f.",NEUTRAL_DISTRESS
қарным ашты.,NEUTRAL_DISTRESS
"я в расстерянности.   с того момента как поступил в ну, потихоньку у меня начались появляться мысли о том что, я довольно средненький по уровню интеллекта, работоспособности и в целом хард скиллов. это еще и не говоря про софт скиллы. но однажды  отец начал говорить о своих новоприбавших сотрудников на работе, и я удивился с каким багажом не то что знаний, а навыков приходят к ним. удивление было скорее отрицательным. шок в шоке. и тут я понял может я реально прям где-то по середине. overqualified, но при этом одновременно и недостаточно имею скиллы, чтоб работать/стажироваться. у меня ощущение, что я знаю всё, но при этом и ничего. у меня есть страх не то что по-жесткому тупить, а скорее, даже, что и не возьмут совсем. просто удивятся, что учусь в ну, но при этом нихуя не умею (возможно я себя накручиваю). я не принадлежу ни к чему миру. даже сейчас, я хз грамотно ли я пишу. а знаете что самое главное? возможно что это простое распиздяйство. возможно я просто обленился. а может быть и выгорание. я запутался.   нахуя это я написал?  просто.",MIND_READING
"they haven't replied in 10 minutes, they are ghosting me because i'm boring.",MIND_READING
it's hard to make friends here.,NEUTRAL_DISTRESS
они считают меня неудачником.,MIND_READING
"я удивляюсь как мы ктлщики были так сказать заперты 5 дней в неделю чувствовали себя хорошо, никакой депрессии, никакой перепадки настроения, тупа peak happiness. а сейчас остаешься дома или в дорме третий день и уже в депрессию падаешь, с ума сходишь, и хочется нахрень умереть",NEUTRAL_DISTRESS
i have too many deadlines this week.,NEUTRAL_DISTRESS
"я решил удалить тикток, я устал от негатива",NEUTRAL_DISTRESS
my mom thinks i'm a failure.,MIND_READING
i miss my friends from home.,NEUTRAL_DISTRESS
"the cashier was rude, she definitely hates students.",MIND_READING
"у меня паника из-за опен кампус,боюсь что,что-то плохое может произойти",NEUTRAL_DISTRESS
"я никогда не найду любовь, я обречен быть один.",ALL_OR_NOTHING
i just know something bad is gonna happen today.,MIND_READING
"очень тяжело вставать по утрам, когда темно.",NEUTRAL_DISTRESS
"менің өмірім ешқашан өзгермейді, бәрі нашар.",ALL_OR_NOTHING
так хочется домой.,NEUTRAL_DISTRESS
"мен ешқашан дұрыс шешім қабылдай алмаймын, мен ақымақпын.",ALL_OR_NOTHING
everything sucks.,ALL_OR_NOTHING
everyone thinks i'm a fraud.,MIND_READING
"the bus driver frowned at me, he definitely thinks i'm slow.",MIND_READING
"все думают, что я глупый.",MIND_READING
total disaster.,ALL_OR_NOTHING
"меня точно отчислят в этом семестре, я чувствую.",MIND_READING
олар менің киіміме қарап күліп тұр.,MIND_READING
"что делать, если каждый раз когда прохожу у турникета то я боюсь, что оно резко закроется и больна будет моим ножкам ????????????????",NEUTRAL_DISTRESS
ол мені жек көреді.,MIND_READING
im committing suicide if i see one of those 'face tracking add on' videos on youtube again.,ALL_OR_NOTHING
"все в спортзале смеются над тем, как я поднимаю веса.",MIND_READING
"я подошел к реке, думал умереть утонув. но просто посидел. не смог. не захотел. сейчас иду по набережной.",NEUTRAL_DISTRESS
they are whispering about my grades.,MIND_READING
the ta definitely thinks i cheated.,MIND_READING
i miss my family back home.,NEUTRAL_DISTRESS
вы все притворяетесь что калк 1 легкий или это я аутист ниче не понимаю,MIND_READING
people think i'm lazy but i have depression.,MIND_READING
nothing ever goes my way.,ALL_OR_NOTHING
устал.,NEUTRAL_DISTRESS
they probably hate sitting next to me.,MIND_READING
they are judging my presentation skills right now.,MIND_READING
"сабақ оқуға зауқым жоқ, тек ұйықтағым келеді.",NEUTRAL_DISTRESS
"if i'm not the smartest person in the room, i am a total waste of space.",ALL_OR_NOTHING
"тамақ істеуге ерініп тұрмын, дайын тамақ ала салу керек.",NEUTRAL_DISTRESS
у меня болит голова.,NEUTRAL_DISTRESS
i need to find a job soon.,NEUTRAL_DISTRESS
